step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,readback_match,audit_failed
11,1,4.8620983362197876,5.3620983362197876,5.3620983362197876,5.3425613702274859,,5.3425613702274859,5.3425613702274859,5.3336642082722392,0.5,0.5,-0.019536965992301702,,0,0,0,0,-0.0088971619552467018,-3.0851227794670422e-07,0,0,0,0,0,1,0
12,1,5.3336642082722392,5.8336642082722392,5.8336642082722392,5.7909096429357305,,5.7909096429357305,5.7909096429357305,5.781266181380488,0.5,0.5,-0.042754565336508676,,0,0,0,0,-0.0096434615552425385,1.6698797011827082e-08,0,0,0,0,0,1,0
13,1,5.781266181380488,6.281266181380488,6.281266181380488,6.2350721582770348,,6.2350721582770348,6.2350721582770348,6.2246891490649432,0.5,0.5,-0.046194023103453219,,0,0,0,0,-0.010383009212091565,1.2340059907245404e-07,0,0,0,0,0,1,0
14,1,6.2246891490649432,6.7246891490649432,6.7246891490649432,6.6761022862046957,,6.6761022862046957,6.6761022862046957,6.6649846872314811,0.5,0.5,-0.048586862860247493,,0,0,0,0,-0.011117598973214626,-2.8299789178731771e-08,0,0,0,0,0,1,0
15,1,6.6649846872314811,7.1649846872314811,7.1649846872314811,7.1124129821546376,,7.1124129821546376,7.1124129821546376,7.1005688617005944,0.5,0.5,-0.0525717050768435,,0,0,0,0,-0.01184412045404315,2.9110755583872105e-08,0,0,0,0,0,1,0
16,1,7.1005688617005944,7.6005688617005944,7.6005688617005944,7.5182129284439725,,7.5182129284439725,7.5182129284439725,7.5056927110708784,0.5,0.5,-0.082355933256621938,,0,0,0,0,-0.012520217373094056,-2.9781725441324625e-07,0,0,0,0,0,1,0
17,1,7.5056927110708784,8.0056927110708784,8.0056927110708784,7.9175394142366713,,7.9175394142366713,7.9175394142366713,7.9043542061699554,0.5,0.5,-0.08815329683420714,,0,0,0,0,-0.013185208066715859,-2.9863546124886398e-07,0,0,0,0,0,1,0
18,1,7.9043542061699554,8.4043542061699554,8.4043542061699554,8.3128347134625074,,8.3128347134625074,8.3128347134625074,8.2989914034260437,0.5,0.5,-0.09151949270744808,,0,0,0,0,-0.013843310036463663,-1.2377875791003135e-07,0,0,0,0,0,1,0
19,1,8.2989914034260437,8.7989914034260437,8.7989914034260437,8.674280614417512,,8.674280614417512,8.674280614417512,8.6598351448774338,0.5,0.5,-0.12471078900853172,,0,0,0,0,-0.014445469540078193,-3.7513653872167652e-07,0,0,0,0,0,1,0
20,1,8.6598351448774338,9.1598351448774338,9.1598351448774338,9.0272633753193077,,9.0272633753193077,9.0272633753193077,9.0122304052638356,0.5,0.5,-0.13257176955812611,,0,0,0,0,-0.015032970055472106,-6.099263316627912e-08,0,0,0,0,0,1,0
21,1,9.0122304052638356,9.5122304052638356,9.5122304052638356,9.3713066195778083,,9.3713066195778083,9.3713066195778083,9.355700571264606,0.5,0.5,-0.14092378568602726,,0,0,0,0,-0.015606048313202336,-2.1137736361254156e-07,0,0,0,0,0,1,0
22,1,9.355700571264606,9.8557010481017642,9.8557010481017642,9.7673277680878527,,9.7673277680878527,9.7673277680878527,9.7510621243272908,0.5,0.5000004768371582,-0.088373280013911426,,0,0,0,0,-0.016265643760561943,-3.2125694460205523e-07,0,0,0,0,0,1,0
23,1,9.7510621243272908,10.251062124327291,10.251062124327291,10.155373737914488,,10.155373737914488,10.155373737914488,10.138461980910506,0.5,0.5,-0.095688386412803084,,0,0,0,0,-0.01691175700398162,-2.2982747083233335e-07,0,0,0,0,0,1,0
