step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,readback_match,audit_failed
11,1,5.0142043717205524,5.5142043717205524,5.5142043717205524,5.4933934484288329,5.4729170986247482,5.5140370831140899,5.5454831525930786,5.5362481106858468,0.5,0.5,-0.020810923291719519,0.020643634685256984,1,0.031446069478988647,0,0,-0.0092350419072317891,-2.6715031431479019e-07,0,0,0,0,0,1,0
12,1,5.5362481106858468,6.0362481106858468,6.0362481106858468,5.9905669650179334,5.9463261515193153,6.0355281829833984,6.0696603395044804,6.0595523832016625,0.5,0.5,-0.04568114566791337,0.044961217965465039,1,0.034132156521081924,0,0,-0.010107956302817911,-2.8046214595178753e-07,0,0,0,0,0,1,0
13,1,6.0595523832016625,6.5595523832016625,6.5595523832016625,6.5098278910736553,6.4380345160025172,6.5705865786876529,6.6073715963866562,6.5963682673755102,0.5,0.5,-0.049724492128007114,0.060758687613997608,1,0.03678501769900322,0,0,-0.011003329011145979,-2.1408880446216472e-07,0,0,0,0,0,1,0
14,1,6.5963682673755102,7.0963682673755102,7.0963682673755102,7.0160427504451945,6.9405782732646912,7.0939375089947134,7.1464724505785853,7.1345714345225133,0.5,0.5,-0.080325516930315644,0.077894758549518883,1,0.052534941583871841,0,0,-0.011901016056071967,-1.4798531644544255e-07,0,0,0,0,0,1,0
15,1,7.1345714345225133,7.6345714345225133,7.6345714345225133,7.5478874335531145,7.4403306137537584,7.6450078290654346,7.7009798352373764,7.6881553931161761,0.5,0.5,-0.086684000969398767,0.097120395512320101,1,0.055972006171941757,0,0,-0.012824442121200264,-1.6473560737750859e-07,0,0,0,0,0,1,0
16,1,7.6881553931161761,8.1881553931161761,8.1881553931161761,8.0958794341286193,8.0118281758177545,8.1840430574461607,8.2585324274346021,8.2447794810964297,0.5,0.5,-0.092275958987556805,0.088163623317541351,1,0.074489369988441467,0,0,-0.013752946338172478,-1.8851861227631161e-07,0,0,0,0,0,1,0
17,1,8.2447794810964297,8.7447794810964297,8.7447794810964297,8.6454186289793142,8.5577256776905415,8.7389452773622907,8.8333535063557065,8.8186429822353603,0.5,0.5,-0.099360852117115428,0.093526648382976418,1,0.094408228993415833,0,0,-0.014710524120346236,-5.290243780819992e-07,0,0,0,0,0,1,0
18,1,8.8186429822353603,9.3186429822353603,9.3186429822353603,9.2133623778863694,9.0893260227385326,9.3280213498383091,9.4273502328305767,9.4116512915952626,0.5,0.5,-0.10528060434899089,0.11465897195193975,1,0.099328882992267609,0,0,-0.015698941235314123,2.2393373733109456e-07,0,0,0,0,0,1,0
19,1,9.4116512915952626,9.9116512915952626,9.9116512915952626,9.7980599049587909,9.6417385388158436,9.9330163104496023,10.054509307261469,10.037765874982142,0.5,0.5,-0.11359138663647173,0.13495640549081145,1,0.12149299681186676,0,0,-0.016743432279326953,1.2751319822257301e-07,0,0,0,0,0,1,0
20,1,10.037765874982142,10.537765874982142,10.537765874982142,10.352932695393974,10.156182524144242,10.543724370578275,10.670360860804067,10.65259117138703,0.5,0.5,-0.1848331795881677,0.1907916751843004,1,0.12663649022579193,0,0,-0.017769689417036716,-5.6517427360347483e-07,0,0,0,0,0,1,0
