step,density_sum,density_min,density_max,density_hash_fnv1a64,kinetic_energy,rms_divergence_after
30,12.676383908372372,0,7.2864570617675781,8057584565269081728,7.3278539503007778e-07,7.3043494988082828e-05
31,13.062450914865622,0,7.1661863327026367,17947496164083257078,7.990436756699637e-07,7.4403188490171929e-05
32,13.430885566907818,0,7.0256004333496094,6084706582082994726,8.6665818344044965e-07,7.5736579201963241e-05
33,13.827202043309626,0,6.8967618942260742,7116738333273274761,9.3661532218902721e-07,7.7328389756789237e-05
34,14.221228802773254,0,6.7498435974121094,4340492586150161855,1.008836420623993e-06,7.9298967862865644e-05
35,14.638990192012329,0,6.6157746315002441,1208158154310703884,1.0842087476703455e-06,8.1501080757621027e-05
36,15.077140501234961,0,6.493431568145752,4084935093582270766,1.1633496797003318e-06,8.4120068113912122e-05
37,15.434664628135103,0,6.3545160293579102,5982561555130125335,1.2429128446456161e-06,8.6095551522356506e-05
38,15.800969234872809,0,6.2282915115356445,1300713306627608563,1.3240888847576571e-06,8.890307508846836e-05
39,16.186749868959552,0,6.1135983467102051,5152072492762961345,1.4100594398769317e-06,9.1978517999801357e-05
40,16.587939461356513,0,5.9835925102233887,3935237494951674611,1.4965319223847473e-06,9.4386909780092069e-05
41,17.010143034211978,0,5.8659710884094238,3444007411558188805,1.5861814972595312e-06,9.7117812514681091e-05
42,17.442992184395621,0,5.9015016555786133,5033682337237730136,1.6779246152509586e-06,9.9892610112057635e-05
43,17.912418667221345,0,5.9321670532226562,13936727449026947476,1.7728054899635026e-06,0.0001028060560600153
44,18.31700622185781,0,5.9493260383605957,1194580551974309147,1.8712156588662765e-06,0.00010600283478761857
45,18.731872946248814,0,5.9547524452209473,2493188813641266374,1.9727135622815695e-06,0.00010899948341629178
46,19.153185686763436,0,5.949986457824707,9421326960733566152,2.0766758552781539e-06,0.00010935131630405932
47,19.602831805334063,0,5.9370913505554199,2730114728124623049,2.1831258436577627e-06,0.00011095728019050762
48,20.045451938464794,0,5.9177761077880859,11856272418159338925,2.2919209641258931e-06,0.00011293962739156606
49,20.502377042968419,0,5.8902316093444824,2521127912092525897,2.4058342660282506e-06,0.00011775168365323105
50,20.997927906521909,0,5.8568615913391113,3906674948214511734,2.5227759579138365e-06,0.00012173957234655904
51,21.446218769766347,0,5.8185176849365234,14146380558431235930,2.6441291538503719e-06,0.00012566327966152712
52,21.916782160170982,0,5.7774486541748047,13147732429132578949,2.7702271836460568e-06,0.00012975452021740251
