step,density_sum,density_min,density_max,density_hash_fnv1a64,kinetic_energy,rms_divergence_after
30,18.137559262282593,0,13.215734481811523,5247838405952655573,1.0248824082736974e-06,9.6635885788847896e-05
31,19.036529445500264,0,13.408613204956055,16973211385200318899,1.1417321275075665e-06,0.0001010248353850024
32,19.96739305637584,0,13.554883003234863,8130767738252765131,1.2682289707299788e-06,0.0001055877902675536
33,20.91997997716453,0,13.652050971984863,14372744856385342023,1.4048798675503349e-06,0.00011061797096495686
34,21.896726246168328,0,13.694648742675781,4864895410340244708,1.5482665958188591e-06,0.00011124586214615762
35,22.914660399323111,0,13.678983688354492,3907404401818120285,1.7040076727425912e-06,0.00011452213540230303
36,23.948607134513622,0,13.602799415588379,12159917546618308425,1.8695254766498692e-06,0.00011864319889118088
37,25.003487440996594,0,13.461957931518555,7507187887981967010,2.045646169790416e-06,0.00012335427126377191
38,26.101825101808714,0,13.285383224487305,3643607810113212539,2.2344181616062997e-06,0.00012867858729432538
39,27.215836022210283,0,13.041075706481934,8998601449018305087,2.4333373858098639e-06,0.00013376898474549122
40,28.260108842785296,0,12.72597599029541,4526190171556054068,2.6446466563356807e-06,0.00013961249651653097
41,29.340455662275861,0,12.373692512512207,5316559177281426684,2.8674126042460557e-06,0.00014513520487956444
42,30.426524052672651,0,12.74736213684082,4618606025057574247,3.1030031095724553e-06,0.00015245984407326866
43,30.924362024534492,0,12.726134300231934,6240117101239843872,3.3496253308840096e-06,0.00015910036727077303
44,31.440139754877329,0,12.704941749572754,1305261292157632036,3.6069336601940449e-06,0.00016590939757419183
45,32.055914685247295,0,12.683784484863281,10758805333305737738,3.8602838685619645e-06,0.00017083033822311132
46,32.757626872296477,0,12.662662506103516,8180107053852284987,4.1253761082771234e-06,0.00017753411293116848
47,33.492502036561135,0,12.641575813293457,10072977718445757592,4.3908567022299394e-06,0.00018327557923036126
48,34.37893702815979,0,12.620523452758789,13805199116331236558,4.6661493797728326e-06,0.00018927614259492368
49,35.318544924931658,0,12.599506378173828,14309314000634061227,4.9508676056575496e-06,0.00019344806606497051
50,36.301798165845383,0,12.502026557922363,1812369136004972285,5.2459013204497751e-06,0.00019958244828742746
51,37.231241717882085,0,12.298487663269043,11098311086976884059,5.5528539633087348e-06,0.00020671517266116138
52,38.191396298583854,0,11.984217643737793,14958567529874160767,5.8780656218004879e-06,0.00021508127734866858
53,38.654210144553041,0,11.964260101318359,8948214103684821283,6.2159806475392543e-06,0.00021842897721557647
